Q9Y3T9	ENSG00000188976	NOC2L	35.8	118	104.4	104.2	111.7	95.7	98.9	45.1	108.8	105.2	96.8	125.3	103	90	39.6	108.4	109.2	102	117.4	103.1	97.7	38.8	118.3	115.2	113	98.6	99	30.1	108.5	118.9	112.3	88.4	96.8	91.8	108.9	112.9	107.5	90.8	94.4	98.1
Q494U1	ENSG00000187583	PLEKHN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.6	95.9	90.8	193.8	195.8	72.7
P05161	ENSG00000187608	ISG15	20.3	108.1	99	50.1	62.5	123.8	174.3	26.7	136.8	86.5	30.2	69.2	143.3	263	23.5	40.7	87.1	92	62.7	135.2	174.9	29.3	80.1	83.9	64.7	189.1	233.1	21.9	88.4	65.2	51.9	195.9	179.8	195.3	97	72.3	66.6	128	155.9	157.9
O00468	ENSG00000188157	AGRN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	79.7	94.9	115.1	109.9	113.2	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q96HA4	ENSG00000131591	C1orf159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.5	80	120	93.6	112.8	111.5	114.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9Y5U5	ENSG00000186891	TNFRSF18	4.3	96.3	116.7	138.5	106.9	172.9	64.5	5.9	109.7	121.4	117.2	151.6	123.1	39.7	NA	101	119.2	129.8	119.6	174.8	52.8	7.4	110.2	85.8	116.6	92.4	110	14	124.8	106	119.1	90.8	106.3	115.3	111.2	128.1	116	94.1	99.6	74.7
P43489	ENSG00000186827	TNFRSF4	NA	113.6	117.8	116.9	103.8	104.6	100.4	NA	99.2	149	94	138.1	116.4	NA	NA	95.8	117.7	148.3	90.1	130.4	76.6	NA	82.2	121.3	89.4	110.4	101.3	11.9	126.4	116	112.2	113.3	95.3	114.3	117.3	124.4	110.9	102	101.5	113.1
Q9BRK5	ENSG00000078808	SDF4	36.6	105.8	134.3	126	95.4	84.8	83.1	56.3	102.6	152	90.5	65.4	61.2	130.7	32.7	105.9	103.5	136.1	79.1	83.4	119.2	27.8	94.7	105.6	104.9	101	104	28.2	107.3	116.7	108.6	88.8	95.6	126.4	97.4	115.9	103.8	89.3	94.8	100.9
Q96L58	ENSG00000176022	B3GALT6	106.4	92.5	136.1	102.3	87.8	77.4	105.5	77.1	96.2	91.4	92.1	86.5	82	168.8	90.4	111	95.2	109.5	91.8	84.1	119.1	79.3	98	93.4	140.8	106.9	114.6	72.4	102.7	101.7	110.3	102.5	99.3	118.4	104.6	102.4	114.9	106.6	132.8	113.9
Q8N2K1	ENSG00000160087	UBE2J2	67.5	117.8	143.9	98.1	89.7	69.8	78.7	NA	NA	NA	NA	NA	NA	NA	146.1	124.9	120.9	119.6	83.1	75.4	93.7	NA	NA	NA	NA	NA	NA	54.3	123.8	111.4	64.6	120	102.1	127.4	106.9	106.4	112.9	106	130.4	132.3
Q96P50	ENSG00000131584	ACAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8N0Z8	ENSG00000169972	PUSL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	115.4	103.4	101.5	81.4	109.2	92.8	84.9	NA	NA	NA	NA	NA	NA	65.7	95.2	94.4	101.5	98.9	98.9	109.1	NA	NA	NA	NA	NA	NA
Q5TA45	ENSG00000127054	INTS11	73.7	109.5	101.8	106.1	105.8	89.4	94	66.6	99.7	110	111.3	109.8	94	93.9	75.7	106.4	102.3	103.4	102.4	95.9	103.9	73.2	104.5	101.3	95	91.1	98.8	74.1	100	100.5	111	96	90.8	105.8	103.8	103.8	109.5	88.4	103.5	109.7
Q5TA50	ENSG00000224051	CPTP	106.9	90.1	107.4	99	126.5	96.8	94.2	77.2	88.4	NA	168.9	158.8	79.3	NA	95.4	93.4	97.2	88.9	104.3	98	111.3	90.3	104.6	94.7	85.1	89.3	105	123.6	92.5	94.5	102.9	106.8	75.8	88.2	101.3	107	102.4	117.4	108.9	110.8
O14640	ENSG00000107404	DVL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9NWT8	ENSG00000175756	AURKAIP1	46.1	104.9	97.4	113.9	95.7	112.9	115.6	NA	NA	NA	NA	NA	NA	NA	57.3	101.4	101	134	106.7	98.7	100.5	NA	NA	NA	NA	NA	NA	66.3	104.6	110.5	103.6	93	97.5	98.3	103.5	112.7	122.6	92.2	124.5	127.6
